Car_ID,Service_Type,Service_Date,Service_Cost,Service_Center
c5295 , Tyre ChanGE,20 jan 2023,01 JAN 1970, FAsTfix
 c5296,FulL serVice  ,"oct 19, 2021 ",01 Jan 1970,  pItStop 
 C5297,ENGINE REPAir ,24 Sep 2021 , 01-01-1970,MechanIX 
C5298, tYre cHANGE ,26 fEB 2023, 01-01-1970 ,aUTOcaRe 
 C5299 ,  OIL chanGE,2022-13-01,1970/01/01,MeChanix
 C5300  , tyRE ChaNGe  ,04-28-2021,01 jaN 1970, PITsToP 
C5301 ,BATtErY rEplAceMENT, 2023/09/02,01-01-1970 ,aUtOCARe 
 C5302 , fuLl sERVIcE, 05-05-2023,01/01/1970, carZ
 c5303 , baTTeRy rEPLACemENT,"JAN 26, 2022 ",01 jaN 1970,  mEcHAnIX 
 c5304, batTery rEPlacEMEnt,2021/12/18,01 jAN 1970,mECHaNIX 
C5305  , FuLL SErvicE,2023-01-12 , 01/01/1970,aUToCaRE 
C5306 ,brAke SeRVICe ,04-07-2022 ,1970/01/01 ,sPeeD GaRaGE
c5307,enGINe RePaIR ,2022-18-02,01-01-1970, piTsTOP 
 C5308, BrakE seRvIcE ," JuL 14, 2022","JAN 01, 1970", AuTocaRe
 c5309  ,brake SERvIcE, 14/07/2022 ,01-01-1970, SPeEd GArAGE
c5310 ,OIl CHaNGe,02/03/2021,01/01/1970, CaRz 
c5311, bRAke sERViCE,12 JaN 2020, 01 jaN 1970,speEd gaRagE
C5312 , FulL seRVIcE ,02 jUN 2022,01/01/1970,aUtOCarE 
 C5313 ,ENGine rePaiR,25/10/2020, 01-01-1970 , cArZ 
 c5314,TyRe chaNgE,"Feb 24, 2022",01-01-1970 ,mEChaNix
 c5315,BRaKE SerVIcE ,21/04/2022,01-01-1970 , Fastfix 
C5316 ,  EnGiNE REPAIr , 28/08/2021,"jAn 01, 1970",SPeeD gARage
 C5317 , battErY rEpLaCemeNt,2022/01/19,01 jan 1970,mEChaNiX 
 C5318 ,eNGINe REpair,24 JuL 2023 , 01-01-1970,cArZ
 c5319 ,TyrE CHaNgE ,2023/09/27,1970/01/01,  MecHANix
 c5320,batTERY rePLaCemENT ,2023-05-07,01/01/1970, sPEEd gaRAge
 C5321, ENgINe RePAir, 2022-13-12 ,01/01/1970, carz 
c5322, enGInE repAIr ,11-08-2021, 01-01-1970,cArZ 
C5323,bRAKe sERvIcE  ,07/05/2021, 01-01-1970,caRZ  
c5324,brake seRViCE,2023-13-01 ,"JAn 01, 1970 ", mEcHANix
  c5325,TyrE CHaNgE,2022/03/08 ," jAN 01, 1970",PItStop
  C5326 ,enGiNe RePaiR ,23/01/2022," jaN 01, 1970", FAStFix 
 C5327 ,  ENgInE repAiR,"nov 13, 2020 ",1970-01-01,MEChaNix
c5328,BATTery repLaCEmENt ,22 nOv 2021," JAn 01, 1970", speed gAraGE
 c5329 ,brAkE sErvIce , 21/10/2022, 1970/01/01, MeCHanIX
c5330,BRake ServiCe,2023/09/29, 1970-01-01 ,MECHANIX
C5331,oIL change,2022/02/28,1970/01/01,auTOCaRe 
c5332  ,OiL cHangE ,18/05/2022 ,1970/01/01,  pItstop 
  C5333,enGINe RePAir, 2022-30-09,1970-01-01,MeChAniX
 C5334, eNGine REPAIr,"NOv 29, 2020", 1970/01/01, FasTfIx  
 c5335,engIne REpair, 01 feb 2022 , 01/01/1970 , SPEEd GaRage 
 C5336, FuLl SErVICe ,2021-28-05,01-01-1970 , carZ 
c5337 , OiL chanGE ,"May 21, 2021", 01/01/1970, PITstOP
c5338,TyRe chanGE ,06 sEP 2021,"jaN 01, 1970",mecHaNIX 
 c5339 ,fUll sErVice , 29 JuL 2023,"JAN 01, 1970 ",SpEEd GarAGe
 C5340 , oIl ChanGe ,2022/10/10 ,"JaN 01, 1970 ", CaRZ
 c5341,BAttEry RePlAceMenT ,15 SEp 2020,01/01/1970 , FAsTfIx 
c5342 ,  eNGInE rEPaiR ,2020-06-01 , 01/01/1970 , cArZ 
  c5343, FuLl SeRvIcE  ,10-23-2021, 01 jan 1970, cARZ 
  C5344  ,BRAkE ServiCe ,09/01/2021,1970/01/01 , PItStoP  
c5345 ,bRaKE SeRvIce ,04-04-2023, 01-01-1970 , SPeED GArAge 
 c5346,eNgiNE RePAir , 12-27-2022 ,01-01-1970, spEEd gArAgE 
c5347 ,bRaKE sErVICE,2021-26-06,1970-01-01 , meCHaNiX
 C5348  , TYRe CHAngE,08 JaN 2020,01 JAn 1970 ,meCHANix 
 C5349,fULL sErVIcE ,2020-19-11 ,01-01-1970,PiTstOP 
c5350, BatTerY rePlACemEnt ,2021/07/02 ,1970-01-01,  FAsTFix 
 C5351,fULL SErVice  ,2021/02/25,1970/01/01 ,mechANix 
c5352 ,eNgiNE REpaIR,22 NOV 2020,1970/01/01 ,PiTstop
 C5353 ,  ENGiNE RepAIR,10-24-2021,"jAN 01, 1970",auTOcarE 
 c5354, tyrE cHanGe ,12-08-2021,1970-01-01 ,sPeed GArAgE 
C5355, tyrE cHaNGE , 17/04/2021, 1970/01/01,FastfIx 
 c5356,oil CHaNGe ,09-04-2021 , 01 jAN 1970,MeChAnIx
C5357,TyRE chAnge ,03 dEC 2020 ,1970-01-01,FAstfIX
c5358, BattERY rEPlACEMENT ,06 MaY 2023,01-01-1970,CaRz 
 c5359 , TyRe cHAnGE, 19 Sep 2020,1970/01/01,  cArz  
  C5360,BatTerY rePLaCeMeNt, 10 oCt 2023 ,1970-01-01,mEcHaniX
c5361  , oIl chAnGE ,24/05/2023,"JAn 01, 1970", SPeEd GaraGE  
 C5362 ,eNginE rEPAiR  ,08/01/2021, 1970-01-01, SPEED garagE
c5363 ,BAttEry REpLACEment, 09-21-2023 ,"JAn 01, 1970 ", mecHanIx 
c5364 ,oIl cHAnGe,07 MaR 2022, 01/01/1970,MechAnIx
c5365 , OiL CHAnGe,2023/06/16, 1970/01/01, aUTOCaRe 
C5366 ,bRaKE SeRvicE ," JAn 28, 2022", 01 JaN 1970, auTOCare
c5367 ,OiL changE,21 oCt 2023,1970/01/01 , sPeED GARAGe
C5368 ,fULl SeRVicE, 01-20-2021,1970-01-01,Carz 
 c5369,  EngInE REPAIR ,02-03-2020, 01/01/1970 ,AUtoCare
 C5370, engiNE rEpaiR , 2020-07-03 ," jan 01, 1970", PItStOP
 c5371 ,BATteRy rEpLaCEmEnt ,30/12/2020,1970-01-01, SPEeD GARAgE 
c5372,tYRe chaNge ," Dec 28, 2023", 01-01-1970,aUtOCAre
c5373,tYRe CHAnGE, 07 oCT 2020,"JaN 01, 1970", cARz  
  c5374,BRAKe SERVIcE,2022-13-09 ,01/01/1970,aUtocaRe 
  c5375  ,bRAkE SErVICe ,10 jaN 2023,01 JAN 1970, MechANIX 
c5376,EnGINe rePAiR ,"mAr 03, 2023", 01/01/1970,PiTstoP
 c5377, OIl CHANGE , 17 aUG 2020,01/01/1970, PItSTOP
c5378, Brake SErvICe,"maY 10, 2023 ", 1970/01/01,CArZ 
 C5379,baTTeRy replaCEmENT ,2022-27-01 ,1970-01-01 , FAsTFiX
c5380, FUlL Service, 2023/07/01,1970/01/01,  AuToCare
C5381 ,OIL ChanGE ,06 JuN 2023,"jaN 01, 1970 ",PiTstoP 
 c5382 , fUlL sErvIcE ,10 aug 2022,1970-01-01,mecHANIX 
c5383,tYRE CHANge ,03 noV 2021," JAn 01, 1970", pITsToP  
 C5384  , BaTTerY repLACeMEnt  ,2021/06/01,"jAn 01, 1970",  aUtOCARe
 C5385, Tyre ChangE , 2023/08/20 ,01/01/1970,spEeD GAraGE 
C5386 ,TYrE cHANge  ,14 APr 2022 ,"Jan 01, 1970", FasTFIX
 c5387,  FulL sERVicE ,2022/07/03,1970/01/01, SpeeD gaRAGe 
  c5388, ENgiNe rEpAiR , 21/02/2021, 01/01/1970, FAstFix
c5389 ,  TYRe cHaNgE ,22/04/2020 ,01/01/1970 ,AUtOCaRe 
c5390  ,fULL sErVICe,2020-09-03,1970-01-01 ,caRz 
 C5391  ,brAKe SERViCE ,20/02/2021 ," jan 01, 1970", aUTocaRe 
C5392,oIL chANgE ,09-24-2022, 01/01/1970,CARZ
 C5393 , batterY rePlAceMeNt,"aPR 11, 2022 ",1970-01-01, spEeD garAgE 
 c5394, brake serVICe,23/01/2020,01-01-1970, CARz 
 c5395 ,bRaKE sERVicE,06-30-2020,01-01-1970 , aUtoCarE
c5396,  bRaKe sERVICE ," Jun 23, 2020 ",1970-01-01 , mechaniX
 C5397,ENgINe rePAir ,2023/04/18 ,"jan 01, 1970",CarZ 
C5398,tYrE chaNGe , 2023/04/20, 01-01-1970 ,MechANIx 
 c5399 ,OIL ChAnGE ,"NOV 07, 2021",01-01-1970,SpEed gAraGe
C5400 ,TYre Change ,2022/10/07 ,"Jan 01, 1970",MecHanIX 
C5401,  TyrE CHaNge, 02-15-2021," jan 01, 1970",  meCHAniX
c5402 ,  eNgine RepaiR ,22/10/2020,01/01/1970,caRz
 C5403, tYre cHaNgE, 2021-09-06 ," JaN 01, 1970", spEed gaRAge 
c5404,  BatterY REplaceMENt ,08/04/2022 ,1970/01/01 ,  PItstOP
 c5405 ,OIL CHANge , 04-09-2021,1970/01/01 , Carz  
 C5406 ,FUll SERVicE ,14 deC 2020,01 jaN 1970 , spEeD GArAGE 
C5407 , TyRE cHANGE,"seP 01, 2020"," jan 01, 1970 ",MECHANIx  
C5408 ,EnGInE rEpAiR ,01-20-2020 ,01-01-1970, mEChaNiX 
 c5409,oIL chAnge," aUG 31, 2021",01 JAN 1970, aUToCArE 
c5410, brAke SErVIcE,03-27-2021 ,1970-01-01 , piTSTOp
 c5411 , tYrE cHANGe," FEB 06, 2023"," jan 01, 1970",PITStop
 C5412, OiL chAnge , 2020-07-01,"jAn 01, 1970",  aUtocARe
c5413, tYRe chANGE ,26 jUL 2021,1970-01-01,Speed gArAge  
 C5414,engInE rEpAIr  ,18/04/2020 ," Jan 01, 1970", CArz 
C5415 ,BAtTERY REPLacEMEnt  ,19 jUL 2023, 1970/01/01 ,AUTOcaRE
  c5416 ,  brakE ServIce,2021-10-09, 01 jAn 1970 , FaSTFIX 
C5417 ,oIl chanGE,2021/01/08 ,01/01/1970,pITStop  
 c5418 ,fUll seRvicE ,31 OCT 2023," Jan 01, 1970 ",  sPeED garagE 
 C5419 ,Oil cHANGe , 2021-02-06, 01/01/1970,Fastfix
c5420  , BatTERY rEPLaCEMENt,25 AUg 2021, 01/01/1970, FAsTFIX 
 C5421 ,BRAKE serVicE ,15/12/2021,01/01/1970 ,CarZ 
 c5422,enGInE REPAIR,"dEc 03, 2020", 01-01-1970,pitstOP
 c5423, OIl changE ,25 JUl 2022 ,1970-01-01, aUTOCare  
C5424 , BRaKe SeRVIcE,11 FEb 2023, 01 JAN 1970 , SpEed GARAGE 
c5425,brAKe sErViCe ,15 oCT 2022,01-01-1970, SpEeD gaRaGE
  c5426 ,  bATTerY rEplaceMEnt ,2020-14-11,"jan 01, 1970", SPeed garaGE 
 c5427,BatTeRY rEPlACEMEnt ,"mAr 25, 2021 ", 1970-01-01, CARZ 
 c5428 , fULl seRvIce,12-13-2020, 1970-01-01,fasTfIX
  C5429,FuLL SERVicE  ,2020/03/29,"Jan 01, 1970", SPeed garage
c5430,tyRe CHaNge,01-04-2021,1970/01/01,meCHAnIX
 C5431 , ENgINE repaIR ,04/01/2021 ,1970-01-01 , faStFix 
 c5432,  BraKE seRviCE,06 JAN 2022, 01-01-1970 ,cArZ 
c5433 , tYrE ChANgE , 14 mAr 2022, 01 jan 1970, FAstFIx 
 c5434, tYRE cHAnge,03 ocT 2023,01 jan 1970 , SPeEd GARAGe
 c5435,fuLL SerVice," nOv 21, 2022",1970-01-01,  fAsTfix
C5436,TyRe chaNge ,19/04/2023,"JAN 01, 1970", MEchANIx 
 c5437,  OIL cHAnGe, 2020/04/06,"jan 01, 1970",  meChaNIX
c5438  , fUlL SErVICe ,2022-10-11," jAn 01, 1970 ",CArz
C5439, engINE repAir  ,"jul 24, 2021", 1970-01-01,SpeEd gAraGE
 C5440, BrAke SErVicE,15 JUL 2020 ," jaN 01, 1970", FasTFiX  
  C5441 ,  OIl cHanGE,"Nov 18, 2020",01/01/1970,MEChaNiX
 C5442 ,  Oil ChANgE ," Sep 20, 2022 ", 1970/01/01 ,CaRZ 
C5443,tYrE cHAnge,"MAr 12, 2022 ",01-01-1970,mechAnIX
C5444,batTERy rEpLaCemEnt, 06/04/2021, 01-01-1970, cArz
 C5445,bATTERy REPlacEMent ,"OCT 01, 2021","jaN 01, 1970 ", spEEd gAraGE
C5446 , BRAKe sErvice ,09-13-2022 ,1970-01-01 ,fastfiX 
c5447,enGIne RepAir ,09 aug 2021,1970-01-01, MEChaNix 
 C5448, batteRY RepLaCEMEnT ,2020-17-07,"jan 01, 1970",pITstop
  c5449 ,Oil CHaNge,17 AUg 2022 ,1970/01/01,PITstOp 
 C5450 ,eNGInE RePaIR ,06 dec 2023 , 01 JAN 1970, SPeeD GARAge
C5451 , oIl cHaNgE,2021/06/02 ,01/01/1970,MECHANiX  
c5452,oIl cHAnGe,03/04/2022 ,01 JaN 1970,  aUTocArE 
 c5453,FUll SeRVICe , 28 juL 2021, 01-01-1970, AUtOcARE 
C5454, oIL cHAnge,03 may 2021,01 Jan 1970,FaStFiX 
C5455,  BaTterY REpLACeMEnt,13 JuL 2021,01-01-1970, AutoCARE 
 C5456 , BatTErY rePlacEMeNt,2022-13-07,01/01/1970,cARZ 
 c5457 , ENGIne REPAIR  ,2022-01-02,01/01/1970,SpEED gaRage
 c5458,bRAKE servICe,"Feb 06, 2021 ", 01 JAn 1970, faStfix  
  C5459 ,BRaKe serviCE ,2023-26-01,1970/01/01, FAsTfIX 
 C5460 ,Oil ChAnGE,"jUl 21, 2022",01/01/1970,FaSTfIX
 c5461, OIl chAnGe ,15/04/2021, 1970-01-01,PITSTOp  
 C5462, fuLL ServIce,"sEP 22, 2020"," jAn 01, 1970", mEcHanIX
c5463, oIL chAnge ,2021/10/28,01 jAN 1970 , pitsTop 
 C5464,oIL CHaNGe ,2023-01-10,01 JAN 1970 ,AUTocARE 
 C5465 , bRAKE ServicE,07/10/2023, 01/01/1970, cARz 
  c5466  , TYRe Change, 25/06/2021,01/01/1970 , MEchANIx  
C5467 ,bAttery rEpLacEmenT , 2021/02/04,1970-01-01 , CArZ
 C5468, OIL CHanGe  ,2023-28-07,01-01-1970 , MECHaNIX
 C5469 ,ENgIne rEpaiR , 2021/03/16 ,01 JAN 1970,  FASTfIx  
 c5470 , BRaKE SERVICe , 31 JAN 2022,01 JAN 1970 , sPEEd gaRAGE
C5471,TYre chANGe ,"MAy 24, 2022", 01-01-1970,mechANix
 c5472,ENgINe rEpAir,2021/02/27, 1970-01-01 ,caRZ
 c5473, TYre chAnge  ,13/05/2023, 01-01-1970,  speEd garage
 C5474 ,BAttERy REPlacEMENT,02/03/2021 ,01-01-1970, fAStfIx 
C5475 ,  fUlL ServiCe ,29 mAR 2023,1970/01/01, piTstop 
 C5476  ,  FulL sERVice,"auG 11, 2022",01-01-1970, aUTocaRE 
 c5477 ,fuLL SErVicE,03-07-2023,01/01/1970, carz
 c5478  , tyre CHANgE, 2021-18-09,1970-01-01, CArz 
C5479 ,bATTerY rEpLACEmenT ,2020/09/13,1970-01-01 ,caRZ
c5480 ,TyRE chaNge  ,2021-29-06,01 jAN 1970 ,faStfIx
  C5481,FuLl servICe  ,11-29-2022 ,01 jAn 1970, pITsTOp 
C5482  , bATtERY RePlaCEmeNt , 05/11/2021,01/01/1970,Speed garaGE 
  C5483, TYre chANgE,"Dec 13, 2023",1970-01-01 ,autOcarE
c5484 , Battery rEplaCEmENt ," seP 25, 2021", 1970-01-01, mEChANiX
c5485 , FULl SERVICE ,2020-11-10, 01/01/1970,Speed garAgE 
 c5486,eNGINE rePAir , 2023-03-04 , 1970/01/01,FasTFix
  c5487,TyrE cHAngE,08-11-2022,1970/01/01 , cARz 
 C5488 , oil ChANGe,06-16-2020,01 jan 1970 ,spEeD GARage
c5489,tyRE cHaNge,2022-03-07,01 jaN 1970,  mEChAnix 
C5490  , TyrE cHAnGe ," dec 24, 2021 ",1970-01-01, sPEED GArAgE
  c5491 ,enGiNe RepaIr,02-02-2023,"JAN 01, 1970", CaRZ
 C5492 , fUll SeRVice ,22 JuL 2023,"JAN 01, 1970", AUToCArE 
c5493 ,EnGiNE REpAIR , 14/11/2021,1970/01/01,speEd GarAge 
 C5494 ,BATtERY REplaceMEnt ,15 jUn 2023,"JAN 01, 1970 ",AUtocAre 
 C5495, OiL chaNge,08-07-2020, 1970-01-01, FaStfiX
 c5496  ,FulL SERvice, 08-21-2023 , 01 JaN 1970, pITStOP
 c5497  ,Oil ChaNGe , 13 MaR 2021, 1970-01-01, CaRZ  
 c5498, brAke SeRvICE,09-07-2021,01/01/1970 ,FasTFiX 
C5499 ,  fuLL servICe  ,"AUg 08, 2023 ",1970/01/01, cARZ
 c5500,oIl cHanGE ,14 jUl 2022,01-01-1970, pItstOP 
 C5501, EngiNE RePaIR ,30 jUl 2020, 01 JaN 1970 ,  MEchaNiX 
 c5502, oIl cHAnGE, 2021/12/30, 01-01-1970,AuToCARe 
C5503 ,FuLL SerVICe,18 may 2020 ,01/01/1970,  AutoCAre
 c5504,eNGiNE REpAiR, 08-29-2020,1970-01-01,MechaniX 
C5505  ,fUll ServICE ,"JUL 21, 2023",1970/01/01 ,FAStfIx 
  c5506, baTtErY rEplAcEMent,20 Sep 2020, 1970-01-01,cArz 
  c5507, BRaKE SErvicE  ,2021-03-09 ,"jAn 01, 1970",  MEchAnIX 
 c5508 ,OIl cHaNgE ,2023/08/06, 01/01/1970,  cArZ
 C5509 ,BrAKE SeRVicE, 01-28-2021, 1970/01/01,Carz
c5510 ,bATterY REPlacemENt,08/08/2020,1970-01-01, cArZ  
c5511,fULl serviCe, 2021-14-06,1970/01/01 ,fAStfix 
 c5512, FULl seRViCe,05-09-2020 ,01-01-1970,AUtoCarE
C5513 , FULl SErVICE  ,"OCT 11, 2022 ",01/01/1970, sPEED gAraGE 
  c5514,FulL servICE , 2023/01/11,01/01/1970, CaRz
 C5515 ,  bATTeRY rEPLAcEMenT,2023-02-05,1970-01-01 ,CArz 
c5516  ,OiL CHanGe,"JUL 26, 2021 ",01/01/1970,fasTFix  
C5517 , EnGINE rEPaIr,2022/04/04, 01-01-1970,pItStOp  
 c5518 ,TyrE chaNge,11-26-2023," jaN 01, 1970", aUTOcarE
 C5519 ,BattERY RePlaCemENt,2022/01/14, 01/01/1970,sPEED GArAGe  
c5520,BatTeRY ReplacemEnt  , 2023/01/26,01/01/1970 ,cARz 
 C5521,BraKE sERvICe ,07 Apr 2020, 1970/01/01 , aUTOcARe 
 c5522,BRake serViCE,2022/07/04,1970/01/01,MEcHaNix 
 C5523,TYre ChaNgE,2020/05/04, 1970-01-01 ,  SPeeD GAraGE
 c5524,brAKE SERViCe,2021-14-05,1970/01/01, AUtOCAre 
 C5525,  bAtteRy REpLaceMeNT ,2023/06/15," jan 01, 1970", CaRZ
C5526 , TYRe cHAnge,07 SEP 2022, 01/01/1970 ,  PiTStOp
c5527 ,fUll seRViCe,"aPr 15, 2023 ", 01-01-1970 , PItStoP
C5528, oiL CHANgE , 2023-01-07,01/01/1970 ,SPEED gaRAgE
 C5529,fUll sERVIcE,"SEP 21, 2023",01/01/1970,CARZ
c5530, FUll serviCe ,2023-05-12,01/01/1970,CARZ
 c5531 , brAke serviCE," deC 08, 2020",01-01-1970, PitsTOp
C5532 ,FUll ServIce, 2021-08-03,"JAN 01, 1970", PITsTOp
  C5533,OiL cHANge ,2023-29-08,01-01-1970, Fastfix 
C5534 , fulL SERVIcE,"AuG 18, 2021", 1970/01/01,  fastFIX
c5535 , Oil CHaNge ,16 jAN 2020,01/01/1970,FaStfIx
 c5536 , eNgiNE REpAir ,09-22-2023, 01 jAN 1970,SpeEd GaRagE 
  C5537 ,eNgiNe REPaIR ,11 aUg 2023,1970-01-01, autocaRE  
C5538, BRAKE seRVicE  , 05-20-2021 , 1970/01/01 , fASTFiX
 c5539,tYrE ChAngE, 29 JAn 2020,1970/01/01,mEchaniX 
C5540 ,FUll ServiCe ,2023-11-06, 1970-01-01,PITsToP
 C5541,bRake SERvICE,"aUG 03, 2020 ",1970/01/01,mEcHANiX  
C5542, fulL seRVIcE,16 SeP 2023," jAN 01, 1970 ", spEeD Garage
c5543  ,bAtTErY rEPlacEMEnT ,2021-27-04 ,1970/01/01, fAStfix
C5544, Engine rEpair,01-09-2022, 01/01/1970, AutOcaRe 
 c5545,TYre CHANGE, 2023/03/08,"jaN 01, 1970",  PItsTOP 
 C5546 ,eNgINe rEpaiR,09-13-2020 ,01/01/1970, MEChanIX
C5547, oIl ChANGE ,2023/08/22,1970/01/01,CArZ
 C5548 , BATTEry REPLACemENt,2021/08/04, 1970/01/01,  speeD GaRAGE
C5549, Oil CHanGE ,2020-05-03 ,1970-01-01,SpEEd GaraGE 
c5550,eNgInE rEpair , 07-29-2021,01/01/1970, aUTOcarE
C5551,BAtTerY RepLACemEnt, 10 Jan 2023,1970-01-01 , piTstop 
  c5552, BaTTEry replACEMent,12-09-2022 ,01 JAn 1970 ,  pitstOP 
C5553,ENGInE RepAIr,11/08/2021,01/01/1970, CARz 
 c5554, tyrE ChanGE ,2023-02-09,1970-01-01 , cARz
C5555,braKe ServICe,05/09/2021, 1970-01-01,SpEeD gARagE
 C5556,TyRE chaNGe ,12/10/2021 , 01/01/1970 ,AuTOcARe 
C5557 ,tyrE ChANGe,10 JuN 2022 ,1970/01/01 ,mECHaNIX 
 c5558,tyrE CHANge ,2022/03/05, 01/01/1970,FASTFix 
C5559,bRaKe SeRvicE , 02 Apr 2021 ,"jAN 01, 1970 ", CARz
c5560 , BaTtery RepLAcEMEnT  ,2022/03/02,1970-01-01, aUtOcAre
c5561 , bRake sErVicE, 06-21-2023,1970/01/01, PitStoP 
C5562  ,fuLl sERvICE, 2020/04/18,1970-01-01 , SpEeD GARAGe
c5563  , oil cHANGE,11-21-2022,01-01-1970, cARz
c5564 , Oil chAnge ,04-24-2020 ,1970-01-01 ,pItStOp
 c5565 ,engInE RePAiR,"DEc 13, 2021","JAn 01, 1970",MEchAnIX
 C5566 , bRAKE SerVIcE ,14/07/2022 ,1970/01/01 , meCHANIX
 C5567 ,FuLL sErviCE, 2022/03/28 ,1970-01-01 ,aUtoCAre 
 c5568 ,fUll SeRviCe  ,28 jUN 2023,1970/01/01,  sPeED GARAGE
c5569,  TYrE cHANGe  ,26 Jul 2022,01 JAN 1970,mecHanIX 
 c5570 ,OIl cHAnGE,2021-09-04 ,01 jAn 1970,faStfIx
C5571,EngiNE REPaIR,2021-16-12,01/01/1970, cArZ 
C5572,tyre ChAngE  ,"NOv 27, 2023",1970-01-01, aUTocArE
C5573 ,eNginE RePAIR ,07/11/2020, 01-01-1970 ,  FastFix 
 C5574 ,BaTTeRY rEPLacEmEnt, 09/09/2023,01-01-1970,  SPeeD GaRaGE
c5575 ,eNGiNe REPAiR,"JUN 28, 2023", 01/01/1970 , MecHanix
 c5576, Oil cHanGe ,16 Nov 2023, 01-01-1970 , aUTOcaRE 
c5577, BRAKe sERViCE,12 Jan 2021,01 jan 1970 , MECHaNix 
  C5578,Oil ChaNGE,03-28-2021,1970/01/01,aUtOcARE  
C5579, bRakE servIcE,2023/12/02,01-01-1970,CarZ
c5580,bAttERY replacEmeNT , 10-29-2022, 01/01/1970, cARz 
 C5581,TyrE chaNGe  , 2022-13-04,01 JAN 1970, CARZ  
c5582,  eNGINE RepaiR,27 SEp 2021 ,01 Jan 1970,mecHAnix
 c5583,TyRE changE,09-08-2022, 01-01-1970, fasTfiX
c5584,  ENGine rEPair ,08-04-2021 ,01 JAn 1970 , PiTSTOp 
 C5585,tyRe ChangE,2023/04/15,"JAn 01, 1970", MeChANix
c5586,BraKE SeRviCe," MAy 14, 2023",01-01-1970 ,mEChANIx 
c5587 , oiL cHAnge ,2023-21-12,01/01/1970, carZ 
 C5588,FUll ServIcE ,22/12/2021 , 01/01/1970 , pitsTOP
 c5589, oIl CHAnGe,25/01/2020,01/01/1970,fasTFix 
  c5590,  FULL sErvIce ,2021/11/05, 1970/01/01,  aUTOCaRE 
  C5591  ,oiL CHANGE,08-27-2020,1970/01/01 ,piTsTOp
 C5592 ,Oil cHANgE, 2023-31-01," Jan 01, 1970 ",FastFIX
c5593,tyRE ChaNge ,01/08/2020,01-01-1970,mECHaNiX 
C5594,ENGInE RePair,14 OcT 2023," Jan 01, 1970", FaStFIX 
C5595 ,fulL SERvICE ,12-06-2020,"jAN 01, 1970 ",AuTocarE  
 c5596,bAttEry REPlAcement ,24/05/2022," jaN 01, 1970 ",fasTFix
C5597 ,FUll seRviCE, 05 dEc 2020," jan 01, 1970", MEchANix 
  C5598 , BRaKe SERvIce ,"JUn 09, 2020",01 JAn 1970 , CaRZ
 C5599 ,battERy rEpLACeMEnt ,19/12/2021,1970/01/01 ,MechanIX  
c5600 ,bATtErY REpLacEMEnt , 10/11/2021, 01 jAn 1970, fASTfix
c5601 , EnGiNe rEpaIR,2023/12/16 , 01-01-1970, carZ
  c5602, EnginE REPAir,"MAy 19, 2020", 1970/01/01, SpEED gARaGE 
 c5603 , brAKe SErVIce ,2021-01-10 , 01 jAn 1970,SpEeD garAGe 
 c5604  ,oil chAnGe ,14 Feb 2021 ,1970/01/01 ,PiTsTOp
 c5605  ,oil cHaNGe, 2023-09-07 ,01-01-1970 ,mEchanix
c5606 ,  ENgINe repAIr ,2021-24-02,1970/01/01 , PItSTop
c5607 ,FUlL SERVIce ,01-23-2020,1970-01-01 , fAStFIx 
 c5608 ,EngiNe rEPAir,22 Nov 2020, 1970/01/01,caRz 
 C5609,tYRe cHange,"auG 15, 2023 ", 01-01-1970,SPEeD garaGe
 c5610  , FulL SerViCe  ,2020/07/26,"JAn 01, 1970",FaSTfIx 
 c5611,tyRe CHAnGe,"APR 29, 2020", 01/01/1970 , meChAnIX 
 c5612, Oil CHAngE,08/02/2022,1970-01-01, FAStFIx  
 C5613 ,oil ChANGe  ,10/02/2021 ,1970-01-01, mEChanIX 
 c5614 ,FUlL SERviCE ,10/10/2022 ,01-01-1970, caRz
 c5615 ,TYre CHAngE,2021/09/18, 1970-01-01 ,AutOCARE 
C5616 , tYRE CHANGe , 29 Apr 2021,01/01/1970,caRz 
c5617,enGine RePAIR  ,11-16-2020,1970/01/01,mEcHaNiX
 c5618, bRAKE SErVicE, 05-31-2020,"JAN 01, 1970", SPeEd gaRage
 C5619, FuLL seRviCe , 04-29-2020,01/01/1970,mEcHanIX 
 c5620,  EngiNE REpaIR,10-22-2022,"jaN 01, 1970 ",MechANIX
c5621 ,ENGiNe REPAiR, 09-17-2023, 01 jan 1970 ,  FaSTFiX
 C5622 ,BATtERY REplAcemeNt," dec 26, 2020", 01 JAN 1970 ,PItStOp 
 c5623, TYrE chANGe ,10/05/2022,1970/01/01,  fastFix
c5624, FuLL SERVICe," DEc 03, 2022 ","jAn 01, 1970",  caRz
C5625 , brAkE SErvIcE ,"nOV 24, 2022"," jAN 01, 1970",fAsTfIX
 C5626, oIL chANge ," aUg 21, 2020",01-01-1970, AUTocarE
c5627 ,brake SerVICE ," AUG 14, 2021", 1970/01/01, caRZ  
 c5628,  bRAKE SErviCE,2021/09/21 ,"jan 01, 1970", carZ
c5629 ,OIL ChaNGe,09-05-2021,1970-01-01, SpeEd gAragE  
C5630 ,tYRE cHANGe ,16 SEp 2022,1970-01-01, AutocAre
 c5631  , fULL SeRVIce,"Apr 04, 2020",01-01-1970 ,  SpEED gARAgE
  C5632,Oil CHANge, 2022/03/28, 1970-01-01,pItStOp
